"Timestamp","Hydro Pumped Storage [MW]","Hydro Pumped Storage - Consumption [MW]","Hydro Run-of-river and poundage [MW]","Hydro Water Reservoir [MW]","Nuclear [MW]","Solar [MW]","Wind Onshore [MW]"
"29.01.2018 00:00","148","","122","356","2832","0","3"
"29.01.2018 01:00","137","","120","364","2833","0","3"
"29.01.2018 02:00","117","","120","341","2831","0","3"
"29.01.2018 03:00","134","","119","334","2830","0","4"
"29.01.2018 04:00","142","","121","349","2830","0","4"
"29.01.2018 05:00","252","","126","667","2829","0","4"
"29.01.2018 06:00","1507","","135","1713","2828","0","2"
"29.01.2018 07:00","2326","","141","2387","2829","0","1"
"29.01.2018 08:00","2050","","141","2326","2828","9","1"
"29.01.2018 09:00","1516","","124","2302","2829","44","1"
"29.01.2018 10:00","917","","128","2395","2829","88","1"
"29.01.2018 11:00","801","","127","2082","2830","122","1"
"29.01.2018 12:00","683","","140","1707","2830","140","1"
"29.01.2018 13:00","358","","138","1764","2830","136","2"
"29.01.2018 14:00","611","","115","2091","2827","111","3"
"29.01.2018 15:00","1556","","132","2382","2825","68","6"
"29.01.2018 16:00","1537","","129","2362","2826","21","8"
"29.01.2018 17:00","2202","","134","2471","2825","1","10"
"29.01.2018 18:00","2334","","135","2483","2824","0","10"
"29.01.2018 19:00","1994","","132","2474","2826","0","7"
"29.01.2018 20:00","818","","129","1629","2828","0","7"
"29.01.2018 21:00","389","","124","1188","2828","0","10"
"29.01.2018 22:00","516","","116","1460","2830","0","13"
"29.01.2018 23:00","408","","116","925","2830","0","9"
"30.01.2018 00:00","286","","44","461","2827","0","6"
"30.01.2018 01:00","175","","21","367","2829","0","4"
"30.01.2018 02:00","149","","16","330","2831","0","5"
"30.01.2018 03:00","188","","20","331","2833","0","3"
"30.01.2018 04:00","179","","24","322","2830","0","2"
"30.01.2018 05:00","275","","29","567","2831","0","0"
"30.01.2018 06:00","568","","36","1450","2829","0","0"
"30.01.2018 07:00","1642","","40","2259","2830","0","0"
"30.01.2018 08:00","1879","","43","2520","2830","5","0"
"30.01.2018 09:00","1605","","43","2272","2834","30","1"
"30.01.2018 10:00","1264","","17","1978","2833","60","1"
"30.01.2018 11:00","974","","30","1941","2827","77","0"
"30.01.2018 12:00","440","","33","901","2826","81","0"
"30.01.2018 13:00","461","","35","958","2823","69","0"
"30.01.2018 14:00","702","","32","1708","2821","51","0"
"30.01.2018 15:00","723","","56","2052","2820","29","1"
"30.01.2018 16:00","962","","85","2001","2821","9","1"
"30.01.2018 17:00","1500","","37","2369","2821","1","2"
"30.01.2018 18:00","1950","","37","2803","2822","0","1"
"30.01.2018 19:00","1074","","34","2018","2822","0","0"
"30.01.2018 20:00","742","","28","1403","2669","0","0"
"30.01.2018 21:00","618","","33","468","2543","0","1"
"30.01.2018 22:00","516","","25","431","2538","0","2"
"30.01.2018 23:00","365","","92","396","2535","0","3"
"31.01.2018 00:00","289","","123","467","2540","0","3"
"31.01.2018 01:00","153","","115","354","2697","0","4"
"31.01.2018 02:00","108","","114","369","2731","0","3"
"31.01.2018 03:00","104","","118","347","2766","0","5"
"31.01.2018 04:00","165","","125","387","2786","0","4"
"31.01.2018 05:00","302","","125","472","2784","0","5"
"31.01.2018 06:00","621","","133","1423","2785","0","10"
"31.01.2018 07:00","766","","134","2198","2782","0","14"
"31.01.2018 08:00","860","","139","2252","2784","7","11"
"31.01.2018 09:00","788","","134","2239","2783","28","10"
"31.01.2018 10:00","770","","121","2191","2797","52","11"
"31.01.2018 11:00","802","","124","2144","2810","74","9"
"31.01.2018 12:00","665","","127","1555","2810","87","5"
"31.01.2018 13:00","675","","130","1627","2799","67","17"
"31.01.2018 14:00","731","","125","1727","2799","45","23"
"31.01.2018 15:00","746","","122","1996","2802","26","25"
"31.01.2018 16:00","794","","134","1880","2799","11","27"
"31.01.2018 17:00","769","","135","2307","2801","1","28"
"31.01.2018 18:00","995","","133","2285","2800","0","28"
"31.01.2018 19:00","880","","128","2008","2800","0","26"
"31.01.2018 20:00","562","","127","1435","2798","0","26"
"31.01.2018 21:00","443","","123","666","2800","0","28"
"31.01.2018 22:00","282","","123","535","2799","0","29"
"31.01.2018 23:00","233","","119","505","2800","0","28"
"01.02.2018 00:00","132","","120","370","2801","0","32"
"01.02.2018 01:00","140","","113","401","2801","0","32"
"01.02.2018 02:00","107","","111","328","2803","0","25"
"01.02.2018 03:00","127","","111","348","2805","0","21"
"01.02.2018 04:00","155","","133","368","2806","0","16"
"01.02.2018 05:00","226","","128","450","2809","0","15"
"01.02.2018 06:00","612","","147","1645","2810","0","9"
"01.02.2018 07:00","1551","","175","2310","2810","0","11"
"01.02.2018 08:00","1575","","162","2513","2808","1","12"
"01.02.2018 09:00","1441","","156","2585","2809","8","16"
"01.02.2018 10:00","1470","","156","2336","2804","17","16"
"01.02.2018 11:00","1421","","153","2161","2795","25","18"
"01.02.2018 12:00","1174","","153","1792","2795","35","19"
"01.02.2018 13:00","1195","","157","1098","2796","41","17"
"01.02.2018 14:00","1000","","165","1457","2795","36","12"
"01.02.2018 15:00","1112","","156","1594","2796","23","14"
"01.02.2018 16:00","1101","","160","2057","2796","10","10"
"01.02.2018 17:00","1256","","168","2270","2810","1","11"
"01.02.2018 18:00","1313","","164","2561","2822","0","10"
"01.02.2018 19:00","1209","","167","2281","2823","0","10"
"01.02.2018 20:00","729","","157","1133","2731","0","7"
"01.02.2018 21:00","659","","156","746","2532","0","5"
"01.02.2018 22:00","317","","153","515","2661","0","3"
"01.02.2018 23:00","214","","148","488","2736","0","3"
"02.02.2018 00:00","256","","149","492","2767","0","2"
"02.02.2018 01:00","149","","142","359","2820","0","2"
"02.02.2018 02:00","161","","138","353","2831","0","1"
"02.02.2018 03:00","163","","141","323","2829","0","0"
"02.02.2018 04:00","181","","149","294","2828","0","1"
"02.02.2018 05:00","245","","159","398","2828","0","2"
"02.02.2018 06:00","577","","161","983","2830","0","2"
"02.02.2018 07:00","1368","","166","2050","2829","0","1"
"02.02.2018 08:00","1432","","167","2666","2829","6","3"
"02.02.2018 09:00","1337","","162","2557","2828","42","5"
"02.02.2018 10:00","1332","","160","1567","2829","91","3"
"02.02.2018 11:00","1209","","154","1437","2828","130","2"
"02.02.2018 12:00","1156","","150","1209","2828","138","2"
"02.02.2018 13:00","1185","","144","1143","2828","126","2"
"02.02.2018 14:00","1140","","146","1205","2828","90","1"
"02.02.2018 15:00","1188","","150","1208","2828","45","2"
"02.02.2018 16:00","1239","","156","1172","2827","16","2"
"02.02.2018 17:00","1271","","163","1348","2828","1","2"
"02.02.2018 18:00","1068","","155","1628","2827","0","2"
"02.02.2018 19:00","1033","","132","1441","2827","0","1"
"02.02.2018 20:00","944","","133","1178","2827","0","1"
"02.02.2018 21:00","626","","115","570","2830","0","1"
"02.02.2018 22:00","695","","127","1158","2829","0","2"
"02.02.2018 23:00","576","","111","830","2838","0","2"
"03.02.2018 00:00","168","","122","370","2841","0","3"
"03.02.2018 01:00","143","","111","357","2839","0","2"
"03.02.2018 02:00","145","","102","358","2832","0","2"
"03.02.2018 03:00","134","","104","291","2832","0","2"
"03.02.2018 04:00","132","","127","263","2833","0","3"
"03.02.2018 05:00","189","","124","341","2837","0","2"
"03.02.2018 06:00","264","","133","549","2829","0","2"
"03.02.2018 07:00","422","","123","422","2829","0","3"
"03.02.2018 08:00","575","","123","892","2829","4","2"
"03.02.2018 09:00","712","","116","1360","2829","18","2"
